Time,Energy
0.0,1000.0
1.0,889.51636
2.0,669.41406
3.0,594.4297
4.0,592.07935
5.0,567.5554
6.0,561.34106
7.0,563.0627
8.0,558.8631
9.0,556.5982
10.0,556.9553
11.0,556.58167
12.0,555.87115
13.0,555.8819
14.0,555.8294
15.0,555.6598
16.0,555.6242
17.0,555.63715
18.0,555.6104
19.0,555.5895
20.0,555.5909
21.0,555.5897
22.0,555.584
23.0,555.5825
24.0,555.58307
25.0,555.5824
26.0,555.5815
27.0,555.5814
28.0,555.5814
29.0,555.58154
30.0,555.5815
