Time,ERROR
0.0,-2.3841858E-7
1.0,-4.7016144E-4
2.0,-0.047769785
3.0,-0.044101954
4.0,-0.1286056
5.0,-0.055070877
6.0,-0.030566692
7.0,-0.05858493
8.0,-0.0734365
9.0,-0.040362358
10.0,-0.036520958
11.0,-0.060093403
12.0,-0.06849742
13.0,-0.045617342
14.0,-0.03837681
15.0,-0.05300045
16.0,-0.06706381
17.0,-0.053176165
18.0,-0.0408504
19.0,-0.04431367
20.0,-0.05660367
21.0,-0.059719563
22.0,-0.048727274
23.0,-0.04214239
24.0,-0.04676056
25.0,-0.055462837
26.0,-0.055980444
27.0,-0.048151016
28.0,-0.043553114
29.0,-0.04678631
30.0,-0.05308938
